epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,26.0894,1.26975,1.67076,1.4828,0.97301,0.98485,0.9934,0.71974,0.97093,1.05969,1.43766,0.00066335,0.00066335,0.00066335
2,50.3608,0.96165,0.90241,1.21996,0.93096,0.88535,0.9557,0.60895,1.04671,1.07752,1.4574,0.00131685,0.00131685,0.00131685
3,74.7112,0.90974,0.73457,1.18785,0.99878,1,0.995,0.82696,0.59973,0.48425,1.05416,0.00195715,0.00195715,0.00195715
4,99.3518,0.82575,0.63324,1.13937,0.99596,1,0.995,0.84537,0.61789,0.46919,1.06055,0.0019406,0.0019406,0.0019406
5,124.43,0.75942,0.56945,1.09384,0.99961,1,0.995,0.90512,0.42776,0.33835,0.9191,0.0019208,0.0019208,0.0019208
6,149.909,0.68204,0.52329,1.06488,0.99243,0.9926,0.99495,0.91367,0.40651,0.37935,0.91677,0.001901,0.001901,0.001901
7,175.585,0.64421,0.492,1.05361,0.99984,1,0.995,0.9158,0.39578,0.27953,0.90763,0.0018812,0.0018812,0.0018812
8,201.549,0.6141,0.47356,1.03102,0.99971,1,0.995,0.91945,0.38722,0.28615,0.88219,0.0018614,0.0018614,0.0018614
9,227.451,0.5728,0.43184,0.99969,0.99985,1,0.995,0.93824,0.34061,0.23596,0.86586,0.0018416,0.0018416,0.0018416
10,253.385,0.55203,0.44215,1.0061,0.99979,1,0.995,0.93047,0.38274,0.25692,0.89057,0.0018218,0.0018218,0.0018218
11,280.781,0.55546,0.43833,0.99918,0.99984,1,0.995,0.94507,0.33157,0.22968,0.86286,0.001802,0.001802,0.001802
12,307.309,0.53278,0.42173,0.99586,0.99986,1,0.995,0.95187,0.28422,0.22288,0.843,0.0017822,0.0017822,0.0017822
13,333.944,0.53562,0.41721,0.99398,0.99983,1,0.995,0.96184,0.30287,0.2423,0.8544,0.0017624,0.0017624,0.0017624
14,360.472,0.5243,0.40125,0.99096,0.99985,1,0.995,0.95991,0.28977,0.21652,0.83508,0.0017426,0.0017426,0.0017426
15,386.937,0.48445,0.40377,0.98324,0.99985,1,0.995,0.97456,0.28694,0.20702,0.84254,0.0017228,0.0017228,0.0017228
16,414.538,0.46707,0.38442,0.96886,0.99986,1,0.995,0.97303,0.25237,0.19721,0.81583,0.001703,0.001703,0.001703
17,441.521,0.47552,0.38154,0.96752,0.99984,1,0.995,0.95941,0.28762,0.20715,0.84016,0.0016832,0.0016832,0.0016832
18,469.488,0.47226,0.37774,0.96426,0.99985,1,0.995,0.97878,0.29441,0.19869,0.84417,0.0016634,0.0016634,0.0016634
19,497.319,0.4395,0.35653,0.96172,0.99982,1,0.995,0.98663,0.21864,0.183,0.80722,0.0016436,0.0016436,0.0016436
20,524.367,0.43673,0.35988,0.95421,0.99985,1,0.995,0.96078,0.27206,0.19739,0.84271,0.0016238,0.0016238,0.0016238
21,551.188,0.45197,0.36395,0.96016,0.99983,1,0.995,0.98707,0.21119,0.17096,0.79916,0.001604,0.001604,0.001604
22,578.238,0.42287,0.3429,0.94579,0.99985,1,0.995,0.99069,0.21751,0.16773,0.80385,0.0015842,0.0015842,0.0015842
23,605.185,0.41093,0.34597,0.94407,0.99985,1,0.995,0.98793,0.22176,0.17426,0.80439,0.0015644,0.0015644,0.0015644
24,631.809,0.41681,0.34499,0.94582,0.99982,1,0.995,0.99317,0.2061,0.16897,0.80179,0.0015446,0.0015446,0.0015446
25,658.472,0.40654,0.33181,0.93548,0.99986,1,0.995,0.99344,0.19646,0.15965,0.79632,0.0015248,0.0015248,0.0015248
26,685.169,0.40238,0.33584,0.93986,0.99979,1,0.995,0.99209,0.19482,0.17122,0.79254,0.001505,0.001505,0.001505
27,712.052,0.39222,0.33053,0.9428,0.99953,1,0.995,0.99226,0.18515,0.16235,0.7937,0.0014852,0.0014852,0.0014852
28,738.666,0.38644,0.32297,0.94238,0.99986,1,0.995,0.9908,0.19574,0.17262,0.79837,0.0014654,0.0014654,0.0014654
29,765.494,0.3797,0.32688,0.93103,0.99986,1,0.995,0.99496,0.16372,0.15897,0.78504,0.0014456,0.0014456,0.0014456
30,792.134,0.37452,0.31498,0.93306,0.99985,1,0.995,0.99231,0.18701,0.16181,0.80306,0.0014258,0.0014258,0.0014258
31,818.952,0.36617,0.31953,0.92966,0.99986,1,0.995,0.99499,0.17014,0.156,0.78753,0.001406,0.001406,0.001406
32,845.822,0.36946,0.31429,0.92707,0.99985,1,0.995,0.99498,0.17344,0.15376,0.78422,0.0013862,0.0013862,0.0013862
33,872.994,0.38278,0.31936,0.93674,0.99983,1,0.995,0.9933,0.18028,0.19837,0.78774,0.0013664,0.0013664,0.0013664
34,900.15,0.34824,0.29734,0.91617,0.99986,1,0.995,0.99499,0.16008,0.14599,0.7831,0.0013466,0.0013466,0.0013466
35,927.027,0.34586,0.31154,0.92372,0.99986,1,0.995,0.99374,0.16355,0.14858,0.78678,0.0013268,0.0013268,0.0013268
36,953.67,0.34565,0.30642,0.92323,0.99985,1,0.995,0.99382,0.16627,0.13941,0.78338,0.001307,0.001307,0.001307
37,980.46,0.35201,0.3124,0.9187,0.99986,1,0.995,0.995,0.15311,0.13114,0.77977,0.0012872,0.0012872,0.0012872
38,1007.51,0.35407,0.31093,0.92299,0.99986,1,0.995,0.99486,0.15503,0.13814,0.77857,0.0012674,0.0012674,0.0012674
39,1034.65,0.33905,0.29525,0.92021,0.99986,1,0.995,0.99492,0.14711,0.13175,0.77782,0.0012476,0.0012476,0.0012476
40,1061.47,0.34067,0.31145,0.92195,0.99986,1,0.995,0.99499,0.13938,0.12318,0.77905,0.0012278,0.0012278,0.0012278
