epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,4.56348,0.73297,0.60647,0.85393,0.95339,0.9403,0.9226,0.76197,0.68806,0.50929,0.85064,6e-05,6e-05,6e-05
2,6.92202,0.6827,0.54377,0.85619,0.9678,0.95522,0.93248,0.76478,0.73202,0.52284,0.86103,0.000136535,0.000136535,0.000136535
3,9.57095,0.70137,0.55593,0.86305,0.96725,0.95522,0.93043,0.76947,0.70689,0.56161,0.85646,0.00020911,0.00020911,0.00020911
4,12.1122,0.69027,0.54936,0.8551,0.96694,0.95522,0.92858,0.75446,0.7503,0.5734,0.873,0.000277725,0.000277725,0.000277725
5,14.7535,0.61799,0.49999,0.84129,0.96838,0.95522,0.92836,0.75506,0.73343,0.54701,0.8694,0.00034238,0.00034238,0.00034238
6,17.2561,0.68175,0.54186,0.86872,0.96854,0.95522,0.92778,0.76107,0.70961,0.54306,0.8712,0.000403075,0.000403075,0.000403075
7,19.7757,0.69186,0.53594,0.85992,0.95316,0.9403,0.92201,0.76159,0.70133,0.5439,0.85869,0.00045981,0.00045981,0.00045981
8,22.7016,0.66741,0.51965,0.85039,0.96786,0.95522,0.92849,0.76746,0.70494,0.53148,0.86114,0.000512585,0.000512585,0.000512585
9,25.6057,0.67405,0.52564,0.86059,0.96866,0.95522,0.92832,0.77378,0.68327,0.51939,0.84784,0.0005614,0.0005614,0.0005614
10,28.4076,0.68779,0.54672,0.85786,0.96861,0.95522,0.92863,0.77352,0.6917,0.53381,0.85305,0.000606255,0.000606255,0.000606255
11,31.2242,0.67095,0.51816,0.8554,0.95516,0.95389,0.92532,0.75332,0.73083,0.55585,0.86516,0.00064715,0.00064715,0.00064715
